INVESTPREV	SEGURADORA	S/A	Balancete	Contábil	Analítico	01/02/2020	a	29/02/2020	Folha:	1				
2.1.1.6.2.0.0	1223	CONTRIBUICAO	SOCIAL	-94.578,59	0	0	0	-94.578,59						
														
2.1.1.6.2.0.0.0	1224	CONTRIBUICAO	SOCIAL	-94.578,59	0	0	0	-94.578,59						
														
2.1.1.6.2.0.0.0.0	65305	CONTRIBUICAO	SOCIAL	-94.578,59	0	0	0	-94.578,59						
														
2.1.1.6.2.0.0.0.0.0	65306	CONTRIBUICAO	SOCIAL	-94.578,59	0	0	0	-94.578,59						
2.1.1.6.2.0.0.0.0.0.0001	229930	CONTRIBUICAO	SOCIAL	LALUR	-94.578,59	0	0	0	-94.578,59					
														
2.1.1.6.3	234627	COFINS	-293.748,35	300.002,88	-6.265,47	293.737,41	-10,94							
														
2.1.1.6.3.0	1228	COFINS	-293.748,35	300.002,88	-6.265,47	293.737,41	-10,94							
														
2.1.1.6.3.0.0	1229	COFINS	-293.748,35	300.002,88	-6.265,47	293.737,41	-10,94							
														
2.1.1.6.3.0.0.0	1230	COFINS	-293.748,35	300.002,88	-6.265,47	293.737,41	-10,94							
														
2.1.1.6.3.0.0.0.0	65307	COFINS	-293.748,35	300.002,88	-6.265,47	293.737,41	-10,94							
														
2.1.1.6.3.0.0.0.0.0	65308	COFINS	-293.748,35	300.002,88	-6.265,47	293.737,41	-10,94							
2.1.1.6.3.0.0.0.0.0.0001	229524	COFINS	-293.748,35	300.002,88	-6.265,47	293.737,41	-10,94							
														
2.1.1.6.4	234636	PIS/PASEP	-47.734,11	48.750,11	-1.018,14	47.731,97	-2,14							
														
2.1.1.6.4.0	1234	PIS/PASEP	-47.734,11	48.750,11	-1.018,14	47.731,97	-2,14							
														
2.1.1.6.4.0.0	1235	PIS/PASEP	-47.734,11	48.750,11	-1.018,14	47.731,97	-2,14							
														
2.1.1.6.4.0.0.0	1236	PIS/PASEP	-47.734,11	48.750,11	-1.018,14	47.731,97	-2,14							
														
2.1.1.6.4.0.0.0.0	65309	PIS/PASEP	-47.734,11	48.750,11	-1.018,14	47.731,97	-2,14							
														
2.1.1.6.4.0.0.0.0.0	65310	PIS/PASEP	-47.734,11	48.750,11	-1.018,14	47.731,97	-2,14							
2.1.1.6.4.0.0.0.0.0.0001	229533	PIS/PASEP	-47.734,11	48.750,11	-1.018,14	47.731,97	-2,14							
														
2.1.1.6.9	229551	OUTRAS	CONTRIBUICOES	-722,32	0	0	0	-722,32						
														
2.1.1.6.9.0	1247	OUTRAS	CONTRIBUICOES	-722,32	0	0	0	-722,32						
														
2.1.1.6.9.0.0	1248	OUTRAS	CONTRIBUICOES	-722,32	0	0	0	-722,32						
														
2.1.1.6.9.0.0.0	1249	OUTRAS	CONTRIBUICOES	-722,32	0	0	0	-722,32						
														
2.1.1.6.9.0.0.0.0	65313	OUTRAS	CONTRIBUICOES	-722,32	0	0	0	-722,32						
														
2.1.1.6.9.0.0.0.0.0	65314	OUTRAS	CONTRIBUICOES	-722,32	0	0	0	-722,32						
2.1.1.6.9.0.0.0.0.0.0003	232990	CONTRIB	SINDICAL	A	RECOLHER	-722,32	0	0	0	-722,32				
														
2.1.1.9	233014	OUTRAS	CONTAS	A	PAGAR	-34.869,85	10.895,62	-65	10.830,62	-24.039,23				
														
2.1.1.9.1	233023	OUTRAS	CONTAS	A	PAGAR	-34.869,85	10.895,62	-65	10.830,62	-24.039,23				
														
2.1.1.9.1.0	1259	OUTRAS	CONTAS	A	PAGAR	-34.869,85	10.895,62	-65	10.830,62	-24.039,23				
														
2.1.1.9.1.0.0	1260	OUTRAS	CONTAS	A	PAGAR	-34.869,85	10.895,62	-65	10.830,62	-24.039,23				
														
2.1.1.9.1.0.0.0	1261	OUTRAS	CONTAS	A	PAGAR	-34.869,85	10.895,62	-65	10.830,62	-24.039,23				
														
2.1.1.9.1.0.0.0.0	65315	OUTRAS	CONTAS	A	PAGAR	-34.869,85	10.895,62	-65	10.830,62	-24.039,23				
														
2.1.1.9.1.0.0.0.0.0	65316	OUTRAS	CONTAS	A	PAGAR	-34.869,85	10.895,62	-65	10.830,62	-24.039,23				
2.1.1.9.1.0.0.0.0.0.0001	233050	PENDENCIAS	A	REGULARIZAR	-25.058,00	10.895,62	-65	10.830,62	-14.227,38					
2.1.1.9.1.0.0.0.0.0.0003	201768	OUTRAS	CONTAS	A	PAGAR	-499,45	0	0	0	-499,45				
2.1.1.9.1.0.0.0.0.0.0005	235644	CH	EM	TRANSITO	-9.312,40	0	0	0	-9.312,40					
														
2.1.2	212757	DEBITOS	OPERACOES	SEGUROS	E	RESSEGUROS	-22.102.990,44	24.827.997,52	-20.124.836,07	4.703.161,45	-17.399.828,99			
														
2.1.2.1	120622	PREMIOS	A	RESTITUIR	-72.994,90	117.090,62	-126.193,25	-9.102,63	-82.097,53					
														
2.1.2.1.1	128	DIRETO	-72.994,90	117.090,62	-126.193,25	-9.102,63	-82.097,53							
2.1.2.1.1.1	129	PREMIOS	-72.994,90	117.090,62	-126.193,25	-9.102,63	-82.097,53							
														
2.1.2.3	230973	RESSEGURADORAS	-15.307.905,44	10.263.182,21	-5.674.324,93	4.588.857,28	-10.719.048,16							
														
2.1.2.3.1	230982	RESSEGURO	CEDIDO	-	REESSEGURADORA	LOCAL	-14.721.391,31	9.998.809,33	-5.636.360,42	4.362.448,91	-10.358.942,40			
														
2.1.2.3.1.1	230991	PREMIOS	-14.721.391,31	9.998.809,33	-5.636.360,42	4.362.448,91	-10.358.942,40							
2.1.2.3.1.1.1	122400	RISCOS	EMITIDOS	-20.763.508,78	9.118.441,36	-2.917.021,40	6.201.419,96	-14.562.088,82						
														
2.1.2.3.1.1.2	122401	RVNE	-98.784,83	5.050,73	0	5.050,73	-93.734,10							
2.1.2.3.1.1.2.1	637	PREMIOS	RVNE	-98.784,83	5.050,73	0	5.050,73	-93.734,10						
2.1.2.3.1.1.3	159	(-)COMISSÕES	S/SEGURO	CED	EM	RESSEGURO	6.140.902,30	875.317,24	-2.719.339,02	-1.844.021,78	4.296.880,52			
														
2.1.2.3.2	253	RESSEGURO	A	LIQUIDAR	-	RESSEG	LOCAL	-176.062,30	189.402,11	-23.838,22	165.563,89	-10.498,41		
														
2.1.2.3.2.8	174	OUTROS	DÉBITOS	-176.062,30	189.402,11	-23.838,22	165.563,89	-10.498,41						
2.1.2.3.2.8.1	176	SALVADOS	-	ESTIMATIVA	-55.793,17	16.508,80	-6.861,66	9.647,14	-46.146,03					
2.1.2.3.2.8.2	204	SALVADOS	-	RECUPERAÇÃO	EFETIVA	-123.298,29	172.180,03	-15.550,00	156.630,03	33.331,74				
2.1.2.3.2.8.3	239	RESSARCIMENTOS	-	ESTIMATIVA	-4.590,44	713,28	-713,28	0	-4.590,44					
2.1.2.3.2.8.4	240	RESSARCIMENTOS	-	RECUPERAÇÃO	EFETIVA	7.619,60	0	-713,28	-713,28	6.906,32				
														
2.1.2.3.3	318	RESSEGURO	CEDIDO	-	RESS	ADMITIDA	-372.610,69	73.556,62	-13.686,29	59.870,33	-312.740,36			
														
2.1.2.3.3.1	319	PRÊMIOS	-372.610,69	73.556,62	-13.686,29	59.870,33	-312.740,36							
2.1.2.3.3.1.1	320	RISCOS	EMITIDOS	-391.234,27	69.147,97	-12.496,58	56.651,39	-334.582,88						
														
2.1.2.3.3.1.2	631	RVNE	-7.729,63	34,85	-1.188,23	-1.153,38	-8.883,01							
2.1.2.3.3.1.2.1	639	PREMIOS	RVNE	-7.729,63	34,85	-1.188,23	-1.153,38	-8.883,01						
2.1.2.3.3.1.3	161	(-)	COMISSÕES	S/SEGURO	CED	EM	RESSEGURO	26.353,21	4.373,80	-1,48	4.372,32	30.725,53		
														
2.1.2.3.4	342	RESSEGURO	A	LIQUIDAR	-	RESS	ADMITIDA	-31.260,99	1.398,80	-440	958,8	-30.302,19		
														
2.1.2.3.4.8	177	OUTROS	DEBITOS	-31.260,99	1.398,80	-440	958,8	-30.302,19						
2.1.2.3.4.8.1	178	SALVADOS	-	ESTIMATIVA	-22.943,97	1.398,80	0	1.398,80	-21.545,17					
2.1.2.3.4.8.2	205	SALVADOS	-	RECUPERAÇÃO	EFETIVA	-35.880,64	0	-440	-440	-36.320,64				
2.1.2.3.4.8.4	242	RESSARCIMENTOS	-	RECUPERAÇÃO	EFETIVA	27.563,62	0	0	0	27.563,62				
														
2.1.2.3.5	321	RESSEGURO	CEDIDO	-	RESS	EVENTUAL	-6.580,15	15,35	0	15,35	-6.564,80			
														
2.1.2.3.5.1	322	PRÊMIOS	-6.580,15	15,35	0	15,35	-6.564,80							
2.1.2.3.5.1.1	323	RISCOS	EMITIDOS	-9.861,33	0	0	0	-9.861,33						
														
2.1.2.3.5.1.2	632	RVNE	-69,24	15,35	0	15,35	-53,89							
2.1.2.3.5.1.2.1	641	PREMIOS	RVNE	-69,24	15,35	0	15,35	-53,89						
2.1.2.3.5.1.3	162	(-)	COMISSÕES	S/SEGURO	CED	EM	RESSEGURO	3.350,42	0	0	0	3.350,42		
														
2.1.2.4	120623	CORRETORES	DE	SEGUROS	E	RESSEGUROS	-829.365,28	1.979.707,14	-1.850.669,44	129.037,70	-700.327,58			
														
2.1.2.4.1	120624	COMISSOES	A	PAGAR	-	SEGUROS	-829.365,28	1.979.707,14	-1.850.669,44	129.037,70	-700.327,58			
														
2.1.2.4.1.1	4	COMISSOES	DE	CORRETAGEM	-829.365,28	1.979.707,14	-1.850.669,44	129.037,70	-700.327,58					
														
2.1.2.4.1.1.0	5	COMISSOES	DE	CORRETAGEM	-829.365,28	1.979.707,14	-1.850.669,44	129.037,70	-700.327,58					
														
2.1.2.4.1.1.0.0	9	COMISSOES	DE	CORRETAGEM	-829.365,28	1.979.707,14	-1.850.669,44	129.037,70	-700.327,58					
														
2.1.2.4.1.1.0.0.0	65317	COMISSOES	DE	CORRETAGEM	-829.365,28	1.979.707,14	-1.850.669,44	129.037,70	-700.327,58					
														
2.1.2.4.1.1.0.0.0.0	65318	COMISSOES	DE	CORRETAGEM	-829.365,28	1.979.707,14	-1.850.669,44	129.037,70	-700.327,58					
2.1.2.4.1.1.0.0.0.0.0001	11	PESSOA	FISICA	0	17.483,15	-32.803,03	-15.319,88	-15.319,88						
2.1.2.4.1.1.0.0.0.0.0002	12	PESSOA	JURIDICA	-829.365,28	1.962.223,99	-1.817.866,41	144.357,58	-685.007,70						
														
2.1.2.5	48240	COMISSOES	E	JUROS	S/	PREMIOS	EMITIDOS	-4.717.297,22	2.316.936,95	-2.280.017,38	36.919,57	-4.680.377,65		
														
2.1.2.5.1	48255	DIRETO	-4.717.297,22	2.316.936,95	-2.280.017,38	36.919,57	-4.680.377,65							
														
2.1.2.5.1.1	48260	COMISSOES	-4.717.297,22	2.316.936,95	-2.280.017,38	36.919,57	-4.680.377,65							
2.1.2.5.1.1.1	212511	COMISSOES	-	RISCOS	EMITIDOS	-4.558.253,76	2.295.826,67	-2.279.243,19	16.583,48	-4.541.670,28				
2.1.2.5.1.1.2	212512	COMISSOES	-	RVNE	-159.043,46	21.110,28	-774,19	20.336,09	-138.707,37					
														
2.1.2.8	47183	OUTROS	DEBITOS	-1.175.427,60	10.151.080,60	-10.193.631,07	-42.550,47	-1.217.978,07						
														
2.1.2.8.7	120627	CONTAS	A	PAGAR	DPVAT	-175.522,51	0	0	0	-175.522,51				
														
2.1.2.8.7.0	219084	CONTAS	A	PAGAR	DPVAT	-175.522,51	0	0	0	-175.522,51				
														
2.1.2.8.7.0.0	50233	CONTAS	A	PAGAR	DPVAT	-175.522,51	0	0	0	-175.522,51				
														
2.1.2.8.7.0.0.0	50293	CONTAS	A	PAGAR	DPVAT	-175.522,51	0	0	0	-175.522,51				
														
2.1.2.8.7.0.0.0.0	65321	CONTAS	A	PAGAR	DPVAT	-175.522,51	0	0	0	-175.522,51				
														
2.1.2.8.7.0.0.0.0.0	65322	CONTAS	A	PAGAR	DPVAT	-175.522,51	0	0	0	-175.522,51				
2.1.2.8.7.0.0.0.0.0.0003	723	COTA	PARTE	DA	CONSORCIADA	A	PG	SEG	LIDER	-175.522,51	0	0	0	-175.522,51
														
2.1.2.8.8	261320	OUTROS	DEBITOS	-999.905,09	10.151.080,60	-10.193.631,07	-42.550,47	-1.042.455,56						
														
2.1.2.8.8.0	47207	OUTROS	DEBITOS	-999.905,09	10.151.080,60	-10.193.631,07	-42.550,47	-1.042.455,56						
														
2.1.2.8.8.0.0	47212	OUTROS	DEBITOS	-999.905,09	10.151.080,60	-10.193.631,07	-42.550,47	-1.042.455,56						
														
2.1.2.8.8.0.0.0	47227	OUTROS	DEBITOS	-999.905,09	10.151.080,60	-10.193.631,07	-42.550,47	-1.042.455,56						
														
2.1.2.8.8.0.0.0.0	65323	OUTROS	DEBITOS	-999.905,09	10.151.080,60	-10.193.631,07	-42.550,47	-1.042.455,56						
														
2.1.2.8.8.0.0.0.0.0	65324	OUTROS	DEBITOS	-999.905,09	10.151.080,60	-10.193.631,07	-42.550,47	-1.042.455,56						
2.1.2.8.8.0.0.0.0.0.0002	10	VALORES	A	RECLASSIFICAR	-	CNI	-999.905,09	10.151.080,60	-10.190.123,61	-39.043,01	-1.038.948,10			
2.1.2.8.8.0.0.0.0.0.0004	349	VALORES	A	IDENTIFICAR	-	CNI	0	0	-3.507,46	-3.507,46	-3.507,46			
														
2.1.6	216078	PROVISOES	TEC	SEG	E	RESSEGUROS	-72.395.388,34	4.570.184,25	-4.811.654,63	-241.470,38	-72.636.858,72			
														
2.1.6.1	216112	PROVISOES	TECNICAS	-	DANOS	-61.306.891,31	3.530.285,22	-3.963.002,95	-432.717,73	-61.739.609,04				
														
2.1.6.1.1	216022	PROVISAO	DE	PREMIOS	NAO	GANHOS	-29.042.902,17	924.605,28	-7.619,97	916.985,31	-28.125.916,86			
														
2.1.6.1.1.1	216031	DIRETO	-29.042.902,17	924.605,28	-7.619,97	916.985,31	-28.125.916,86							
2.1.6.1.1.1.1	48304	RISCOS	EMITIDOS	-28.441.445,21	882.550,92	-7.028,93	875.521,99	-27.565.923,22						
2.1.6.1.1.1.2	262392	RISCOS	VIGENTES	NAO	EMITIDOS	-601.456,96	42.054,36	-591,04	41.463,32	-559.993,64				
														
2.1.6.1.5	200362	PROVISAO	DE	SINISTROS	A	LIQUIDAR	-26.156.410,05	2.343.320,89	-3.732.989,48	-1.389.668,59	-27.546.078,64			
														
2.1.6.1.5.1	200371	ADMINISTRATIVAS	-11.549.640,46	2.014.025,28	-3.435.743,53	-1.421.718,25	-12.971.358,71							
2.1.6.1.5.1.1	215808	DIRETO	-11.549.640,46	2.014.025,28	-3.435.743,53	-1.421.718,25	-12.971.358,71							
														
2.1.6.1.5.2	120630	JUDICIAIS	-11.760.753,03	271.177,28	-236.779,57	34.397,71	-11.726.355,32							
2.1.6.1.5.2.1	120631	DIRETO	-11.086.258,61	271.177,28	-229.354,65	41.822,63	-11.044.435,98							
														
2.1.6.1.5.2.6	120633	RETROCESSOES	-674.494,42	0	-7.424,92	-7.424,92	-681.919,34							
2.1.6.1.5.2.6.1	215401	RESSEGURADORA	LOCAL	-674.494,42	0	-7.424,92	-7.424,92	-681.919,34						
														
2.1.6.1.5.5	200407	IBNER	-2.846.016,56	58.118,33	-60.466,38	-2.348,05	-2.848.364,61							
														
2.1.6.1.5.5.2	216180	JUDICIAL	-2.846.016,56	58.118,33	-60.466,38	-2.348,05	-2.848.364,61							
2.1.6.1.5.5.2.1	528	DIRETO	-2.846.016,56	58.118,33	-60.466,38	-2.348,05	-2.848.364,61							
														
2.1.6.1.6	230251	PROV.SINISTROS	OCORRIDOS	NAO	AVISADOS	-4.297.522,80	124.853,90	-46.731,12	78.122,78	-4.219.400,02				
														
2.1.6.1.6.1	230260	ADMINISTRATIVO	-3.837.955,68	69.829,62	-404,19	69.425,43	-3.768.530,25							
2.1.6.1.6.1.1	216124	DIRETO	-3.837.955,68	69.829,62	-404,19	69.425,43	-3.768.530,25							
2.1.6.1.6.2	216663	JUDICIAIS	-459.567,12	55.024,28	-46.326,93	8.697,35	-450.869,77							
2.1.6.1.6.2.1	216664	DIRETO	-459.567,12	55.024,28	-46.326,93	8.697,35	-450.869,77							
														
2.1.6.1.7	306	PROVISÃO	DE	DESPESAS	RELACIONADAS	-1.740.281,13	137.505,15	-166.720,92	-29.215,77	-1.769.496,90				
														
2.1.6.1.7.1	307	ADMINISTRATIVOS	-117.326,98	79.102,06	-130.227,12	-51.125,06	-168.452,04							
2.1.6.1.7.1.1	308	DIRETO	-117.326,98	79.102,06	-130.227,12	-51.125,06	-168.452,04							
														
2.1.6.1.7.2	64	JUDICIAL	-958.274,81	46.101,59	-29.940,66	16.160,93	-942.113,88							
2.1.6.1.7.2.1	65	DIRETO	-958.274,81	46.101,59	-29.940,66	16.160,93	-942.113,88							
														
2.1.6.1.7.3	67	DESPESAS	RELACIONADAS	DO	IBNR	-455.038,91	7.864,67	-385,88	7.478,79	-447.560,12				
2.1.6.1.7.3.1	68	ADMINISTRATIVO	-	ALAE	-300.904,87	4.927,49	-115,4	4.812,09	-296.092,78					
2.1.6.1.7.3.2	69	JUDICIAL	-	ALAE	-31.766,18	571,42	-74,96	496,46	-31.269,72					
2.1.6.1.7.3.3	576	ADMINISTRATIVO	-	ULAE	-107.717,22	2.087,57	-149,07	1.938,50	-105.778,72					
2.1.6.1.7.3.4	584	JUDICIAL	-	ULAE	-14.650,64	278,19	-46,45	231,74	-14.418,90					
														
2.1.6.1.7.8	621	DESPESAS	RELACIONADAS	DO	IBNER	-209.640,43	4.436,83	-6.167,26	-1.730,43	-211.370,86				
2.1.6.1.7.8.2	623	DESP	RELAC	IBNER	-	JUD	-	ALAE	-101.772,62	1.469,86	-5.024,09	-3.554,23	-105.326,85	
2.1.6.1.7.8.4	614	DESP	RELAC	IBNER	-	JUD	-	ULAE	-107.867,81	2.966,97	-1.143,17	1.823,80	-106.044,01	
														
2.1.6.1.9	43869	OUTRAS	PROVISOES	-69.775,16	0	-8.941,46	-8.941,46	-78.716,62						
														
2.1.6.1.9.2	120637	OUTRAS	PROVISOES	-69.775,16	0	-8.941,46	-8.941,46	-78.716,62						
2.1.6.1.9.2.1	120638	DIRETO	-	PROV	VLRS	A	REGULARIZAR	-69.775,16	0	-8.941,46	-8.941,46	-78.716,62		
														
2.1.6.2	43	PROVISÕES	TÉCNICAS	-	PESSOAS	-11.088.497,03	1.039.899,03	-848.651,68	191.247,35	-10.897.249,68				
														
2.1.6.2.1	44	PROVISÃO	DE	PRÊMIOS	NÃO	GANHO	-2.468.174,14	245.357,45	-7.209,35	238.148,10	-2.230.026,04			
														
2.1.6.2.1.1	45	DIRETO	-2.468.174,14	245.357,45	-7.209,35	238.148,10	-2.230.026,04							
2.1.6.2.1.1.1	46	RISCOS	EMITIDOS	-2.174.666,87	12.363,43	-5.110,73	7.252,70	-2.167.414,17						
2.1.6.2.1.1.2	47	RISCOS	VIGENTES	NÃO	EMITIDOS	-293.507,27	232.994,02	-2.098,62	230.895,40	-62.611,87				
														
2.1.6.2.5	70	PROVISÃO	DE	SINISTROS	A	LIQUIDAR	-6.327.233,49	780.486,34	-579.735,58	200.750,76	-6.126.482,73			
														
2.1.6.2.5.1	71	ADMINISTRATIVAS	-1.793.530,96	677.977,17	-538.433,70	139.543,47	-1.653.987,49							
2.1.6.2.5.1.1	72	DIRETO	-1.793.530,96	677.977,17	-538.433,70	139.543,47	-1.653.987,49							
														
2.1.6.2.5.2	77	JUDICIAIS	-4.172.675,86	44.416,41	-41.301,88	3.114,53	-4.169.561,33							
2.1.6.2.5.2.1	78	DIRETO	-4.172.675,86	44.416,41	-41.301,88	3.114,53	-4.169.561,33							
														
2.1.6.2.5.3	89	IBNER	-361.026,67	58.092,76	0	58.092,76	-302.933,91							
2.1.6.2.5.3.2	96	JUDICIAL	-361.026,67	58.092,76	0	58.092,76	-302.933,91							
														
2.1.6.2.6	48	PROV	SINISTROS	OCORR	Ñ	AVISADOS	-2.085.609,08	12.744,46	-233.342,76	-220.598,30	-2.306.207,38			
2.1.6.2.6.1	49	ADMINISTRATIVO	-1.253.273,14	8.213,25	-69.910,24	-61.696,99	-1.314.970,13							
2.1.6.2.6.1.1	50	DIRETO	-1.253.273,14	8.213,25	-69.910,24	-61.696,99	-1.314.970,13							
														
2.1.6.2.6.2	51	JUDICIAL	-832.335,94	4.531,21	-163.432,52	-158.901,31	-991.237,25							
2.1.6.2.6.2.1	35	DIRETO	-832.335,94	4.531,21	-163.432,52	-158.901,31	-991.237,25							
														
2.1.6.2.7	108	PROVISÃO	DE	DESPESAS	RELACIONADAS	-159.067,56	1.310,78	-6.553,16	-5.242,38	-164.309,94				
														
2.1.6.2.7.2	111	JUDICIAL	-90.034,81	100,8	-772,42	-671,62	-90.706,43							
2.1.6.2.7.2.1	102	JUDICIAL	-90.034,81	100,8	-772,42	-671,62	-90.706,43							
														
2.1.6.2.7.3	113	DESPESAS	RELACIONADAS	DO	IBNR	-66.107,55	739,29	-5.780,74	-5.041,45	-71.149,00				
2.1.6.2.7.3.1	115	ADMINISTRATIVA	-	ALAE	-28.393,15	476,44	-926,02	-449,58	-28.842,73					
2.1.6.2.7.3.2	114	JUDICIAL	-	ALAE	-21.885,86	262,85	-2.244,49	-1.981,64	-23.867,50					
2.1.6.2.7.3.3	617	ADMINISTRATIVO	-	ULAE	-9.184,97	0	-782,03	-782,03	-9.967,00					
2.1.6.2.7.3.4	630	JUDICIAL	-	ULAE	-6.643,57	0	-1.828,20	-1.828,20	-8.471,77					
														
2.1.6.2.7.8	624	DESPESAS	RELACIONADAS	DO	IBNER	-2.925,20	470,69	0	470,69	-2.454,51				
2.1.6.2.7.8.2	626	DESP	RELAC	IBNER	-	JUD	-	ALAE	-2.925,20	470,69	0	470,69	-2.454,51	
														
2.1.6.2.9	124	OUTRAS	PROVISÕES	-48.412,76	0	-21.810,83	-21.810,83	-70.223,59						
														
2.1.6.2.9.1	126	OUTRAS	PROV	-	PROV	VLRS	A	REGULARIZAR	-48.412,76	0	-21.810,83	-21.810,83	-70.223,59	
2.1.6.2.9.1.1	127	DIRETO	-48.412,76	0	-21.810,83	-21.810,83	-70.223,59							
														
2.2	201190	PASSIVO	NAO	CIRCULANTE	-4.048.184,24	2.547,12	-2.481,86	65,26	-4.048.118,98					
														
2.2.8	48433	OUTROS	DEBITOS	-4.048.184,24	2.547,12	-2.481,86	65,26	-4.048.118,98						
														
2.2.8.2	48502	PROVISOES	FISCAIS	-3.885.048,23	0	0	0	-3.885.048,23						
														
2.2.8.2.1	48517	PROVISOES	FISCAIS	-3.885.048,23	0	0	0	-3.885.048,23						
														
2.2.8.2.1.0	48606	PROVISOES	FISCAIS	-3.885.048,23	0	0	0	-3.885.048,23						
														
2.2.8.2.1.0.0	48611	PROVISOES	FISCAIS	-3.885.048,23	0	0	0	-3.885.048,23						
														
2.2.8.2.1.0.0.0	48626	PROVISOES	FISCAIS	-3.885.048,23	0	0	0	-3.885.048,23						
														
2.2.8.2.1.0.0.0.0	65349	PROVISOES	FISCAIS	-3.885.048,23	0	0	0	-3.885.048,23						
														
2.2.8.2.1.0.0.0.0.0	65350	PROVISOES	FISCAIS	-3.885.048,23	0	0	0	-3.885.048,23						
2.2.8.2.1.0.0.0.0.0.0003	235842	CSLL	EXERCICIOS	ANTERIORES	-1.555.641,07	0	0	0	-1.555.641,07					
2.2.8.2.1.0.0.0.0.0.0004	235960	PROV.	PERDA	DEP.	JUD.	PROC.	DPVAT	-2.329.407,16	0	0	0	-2.329.407,16		
														
2.2.8.4	48542	PROVISOES	CIVEIS	-163.136,01	2.547,12	-2.481,86	65,26	-163.070,75						
2.2.8.4.1	48557	PROVISOES	CIVEIS	-163.136,01	2.547,12	-2.481,86	65,26	-163.070,75						
														
2.2.8.4.1.0	48631	PROVISOES	CIVEIS	-163.136,01	2.547,12	-2.481,86	65,26	-163.070,75						
														
2.2.8.4.1.0.0	48646	PROVISOES	CIVEIS	-163.136,01	2.547,12	-2.481,86	65,26	-163.070,75						
														
2.2.8.4.1.0.0.0	48651	PROVISOES	CIVEIS	-163.136,01	2.547,12	-2.481,86	65,26	-163.070,75						
														
2.2.8.4.1.0.0.0.0	65353	PROVISOES	CIVEIS	-163.136,01	2.547,12	-2.481,86	65,26	-163.070,75						
														
2.2.8.4.1.0.0.0.0.0	65354	PROVISOES	CIVEIS	-163.136,01	2.547,12	-2.481,86	65,26	-163.070,75						
2.2.8.4.1.0.0.0.0.0.0003	235905	PROVISOES	ACOES	CONTRARIAS	-163.136,01	2.547,12	-2.481,86	65,26	-163.070,75					
														
2.4	201406	PATRIMONIO	LIQUIDO	OU	PATRIMONIO	SOCIAL	-103.938.977,36	2.983,57	-2.983,57	0	-103.938.977,36			
														
2.4.1	201415	PATRIMONIO	LIQUIDO	-103.938.977,36	2.983,57	-2.983,57	0	-103.938.977,36						
														
2.4.1.1	201424	CAPITAL	SOCIAL	-43.611.320,48	0	0	0	-43.611.320,48						
														
2.4.1.1.1	201433	CAPITAL	NACIONAL	-43.611.320,48	0	0	0	-43.611.320,48						
2.4.1.1.1.1	250006	ACOES	ORDINARIAS	-43.611.320,48	0	0	0	-43.611.320,48						
														
2.4.1.4	201498	RESERVAS	DE	REAVALIACAO	-333,9	0	0	0	-333,9					
2.4.1.4.1	228417	RESERVAS	DE	REAVALIACAO	-	IMOVEIS	-333,9	0	0	0	-333,9			
														
2.4.1.5	201505	RESERVAS	DE	LUCROS	-60.325.994,66	0	0	0	-60.325.994,66					
														
2.4.1.5.1	201514	RESERVA	LEGAL	-3.955.770,01	0	0	0	-3.955.770,01						
														
2.4.1.5.1.0	2527	RESERVA	LEGAL	-3.955.770,01	0	0	0	-3.955.770,01						
														
2.4.1.5.1.0.0	2528	RESERVA	LEGAL	-3.955.770,01	0	0	0	-3.955.770,01						
														
2.4.1.5.1.0.0.0	2529	RESERVA	LEGAL	-3.955.770,01	0	0	0	-3.955.770,01						
														
2.4.1.5.1.0.0.0.0	65361	RESERVA	LEGAL	-3.955.770,01	0	0	0	-3.955.770,01						
														
2.4.1.5.1.0.0.0.0.0	65362	RESERVA	LEGAL	-3.955.770,01	0	0	0	-3.955.770,01						
2.4.1.5.1.0.0.0.0.0.0003	240160	EXERCICIO	ATUAL	-3.955.770,01	0	0	0	-3.955.770,01						
														
2.4.1.5.8	201523	OUTRAS	RESERVAS	DE	LUCROS	-56.370.224,65	0	0	0	-56.370.224,65				
														
2.4.1.5.8.0	259422	OUTRAS	RESERVAS	DE	LUCROS	(RS)	-56.370.224,65	0	0	0	-56.370.224,65			
														
2.4.1.5.8.0.0	50946	OUTRAS	RESERVAS	DE	LUCROS	-56.370.224,65	0	0	0	-56.370.224,65				
														
2.4.1.5.8.0.0.0	50951	OUTRAS	RESERVAS	DE	LUCROS	-56.370.224,65	0	0	0	-56.370.224,65				
														
2.4.1.5.8.0.0.0.0	65367	OUTRAS	RESERVAS	DE	LUCROS	-56.370.224,65	0	0	0	-56.370.224,65				
														
2.4.1.5.8.0.0.0.0.0	65368	OUTRAS	RESERVAS	DE	LUCROS	-56.370.224,65	0	0	0	-56.370.224,65				
2.4.1.5.8.0.0.0.0.0.0003	112	RESERVA	DE	RETENÇÃO	DE	LUCROS	-56.370.224,65	0	0	0	-56.370.224,65			
														
2.4.1.6	240170	AJUSTES	COM	TIT	VALORES	MOBILIARIOS	-1.374,83	2.983,57	-2.983,57	0	-1.374,83			
2.4.1.6.1	251140	GANHOS/PERDAS	NA	REAL	TIT	VAL	MOBIL	-1.374,83	2.983,57	-2.983,57	0	-1.374,83		
														
2.4.1.8	201541	LUCROS	OU	PREJUIZOS	ACUMULADOS	-20,92	0	0	0	-20,92				
														
